Zip Code,Jurisdiction: Jurisdiction Name,Utility Company,SOW: Gross Price of Sunrun Managed Electrical,Permit Submitted Date,Permit Approval Date,TU Invoice Amount:,Job Code
01056,MA-TOWN LUDLOW,WMECO,"$10,851.24",-,-,"$10,851.24",221R-061DENG
01104,MA-CITY SPRINGFIELD,WMECO,"$12,608.47",3/19/2026,-,"$7,333.47",221R-432SAIL
01056,MA-TOWN LUDLOW,WMECO,"$2,200.00",-,-,"$46,411.59",221R-025IWAS
01104,MA-CITY SPRINGFIELD,WMECO,"$3,200.00",-,-,"$14,762.15",221R-035VEGA
01841,MA-CITY LAWRENCE,National Grid,"$2,027.12",2/24/2026,3/31/2026,"$2,027.12",222R-012SANC2
01226,MA-TOWN DALTON,WMECO,"$1,500.00",-,-,"$12,094.97",221R-084PERR
02382,MA-TOWN WHITMAN,National Grid,"$10,171.17",1/16/2026,1/21/2026,"$10,171.17",223R-023FOLC2
01104,MA-CITY SPRINGFIELD,WMECO,$0.00,-,-,"$39,832.30",221R-018MATE
01119,MA-CITY SPRINGFIELD,WMECO,"$14,946.26",-,-,"$12,746.26",221R-048TODD
01027,MA-CITY EASTHAMPTON,WMECO,"$6,276.56",-,-,"$6,276.56",221R-061DERR
01226,MA-TOWN DALTON,WMECO,$0.00,-,-,"$10,694.67",221R-085SHEP
01056,MA-TOWN LUDLOW,WMECO,$0.00,-,-,"$16,037.29",221R-058FOST
01462,MA-TOWN LUNENBURG,UNITIL,$0.00,-,-,"$15,609.58",221R-467LAHT
01056,MA-TOWN LUDLOW,WMECO,$0.00,-,-,"$6,168.77",221R-065MUGN
01089,MA-CITY WEST SPRINGFIELD,WMECO,$0.00,-,-,"$13,483.58",221R-031WILS
01056,MA-TOWN LUDLOW,WMECO,$0.00,-,-,"$14,706.45",221R-057SANT
01462,MA-TOWN LUNENBURG,UNITIL,$0.00,-,-,"$23,244.70",221R-868RASP3
01420,MA-CITY FITCHBURG,UNITIL,$0.00,-,-,"$26,726.69",221R-267PAGE3
01420,MA-CITY FITCHBURG,UNITIL,$0.00,-,-,"$18,069.70",221R-155ZEBR
01469,MA-TOWN TOWNSEND,UNITIL,$0.00,-,-,"$6,515.44",221R-041TENG
02368,MA-TOWN RANDOLPH,National Grid,$0.00,3/2/2026,3/3/2026,"$6,500",223R-037DUNN2
,,,,,,"$320,263.70",